step,log_step_index,g11_reward,g10_reward,g11_reference_kl,g10_reference_kl,g11_kl_loss,g10_kl_loss,g11_response_len_mean_tokens,g10_response_len_mean_tokens,g11_response_len_max_tokens,g10_response_len_max_tokens,g11_rollout_time_s,g10_rollout_time_s,g11_tokens_per_gpu_s,g10_tokens_per_gpu_s,g11_longest_sample_tokens_s,g10_longest_sample_tokens_s,g11_ref_log_probs_time_s,g10_ref_log_probs_time_s,g11_actor_train_time_s,g10_actor_train_time_s,g11_actor_train_tokens_s,g10_actor_train_tokens_s,g11_train_time_s,g10_train_time_s,g11_step_time_s,g10_step_time_s,g11_mismatch_count,g10_mismatch_count,g11_max_abs_diff,g10_max_abs_diff,g11_active_tokens_mean,g10_active_tokens_mean,delta_g11_minus_g10_reward,delta_g11_minus_g10_reference_kl,delta_g11_minus_g10_kl_loss,delta_g11_minus_g10_response_len_mean_tokens,delta_g11_minus_g10_response_len_max_tokens,delta_g11_minus_g10_rollout_time_s,delta_g11_minus_g10_tokens_per_gpu_s,delta_g11_minus_g10_longest_sample_tokens_s,delta_g11_minus_g10_ref_log_probs_time_s,delta_g11_minus_g10_actor_train_time_s,delta_g11_minus_g10_actor_train_tokens_s,delta_g11_minus_g10_train_time_s,delta_g11_minus_g10_step_time_s,delta_g11_minus_g10_mismatch_count,delta_g11_minus_g10_max_abs_diff,delta_g11_minus_g10_active_tokens_mean
24,23,0.3828125,0.3828125,0.0,0.0,0.0012435333337634802,0.002531500067561865,6522.0703125,6498.921875,7168.0,7168.0,76.27400612831116,146.69217538833618,1368.1348377644283,708.8500100617357,93.97697018748046,48.86422865448857,23.724435329437256,25.69256353378296,120.92605495452881,98.05967283248901,7047.422495676839,8660.583657572904,144.88602995872498,123.98894739151001,241.63490891456604,290.58310437202454,0.0,3681.8671875,0.0,0.7919431924819946,6522.0703125,6498.921875,0.0,0.0,-0.0012879667337983847,23.1484375,0.0,-70.41816926002502,659.2848277026926,45.11274153299189,-1.9681282043457031,22.866382122039795,-1613.161161896065,20.897082567214966,-48.948195457458496,-3681.8671875,-0.7919431924819946,23.1484375
25,24,0.375,0.3984375,0.0,0.0,0.0013757410924881697,0.004087383393198252,6292.6796875,6213.1484375,7168.0,7168.0,74.27027106285095,142.04829621315002,1355.6282151548562,699.8350395616865,96.51237160470447,50.46171049629547,22.379383325576782,23.928799867630005,115.69404768943787,92.55846953392029,7132.5277011233375,8805.363832224122,138.30823230743408,116.72415471076965,232.9859459400177,278.8049690723419,0.0,3851.890625,0.0,0.7779906988143921,6292.6796875,6213.1484375,-0.0234375,0.0,-0.002711642300710082,79.53125,0.0,-67.77802515029907,655.7931755931697,46.050661108409,-1.5494165420532227,23.135578155517578,-1672.8361311007848,21.58407759666443,-45.81902313232422,-3851.890625,-0.7779906988143921,79.53125
26,25,0.3671875,0.375,0.0,0.0,0.0012049735523760319,0.0039017912931740284,6158.2265625,6037.875,7168.0,7168.0,73.27543640136719,140.2966320514679,1344.6746937171647,688.5838853534277,97.8226859098755,51.09174678812258,21.854750394821167,22.644676208496094,113.22535037994385,87.67426919937134,7151.728807044929,9060.263715385447,135.3156316280365,110.55447459220886,228.84834098815918,270.8762581348419,0.0,3513.6171875,0.0,0.7183178663253784,6158.2265625,6037.875,-0.0078125,0.0,-0.0026968177407979965,120.3515625,0.0,-67.02119565010071,656.090808363737,46.730939121752925,-0.7899258136749268,25.55108118057251,-1908.5349083405172,24.761157035827637,-42.02791714668274,-3513.6171875,-0.7183178663253784,120.3515625
27,26,0.4296875,0.4609375,0.0,0.0,0.001379612716846168,0.005677415058016777,6149.6171875,5916.65625,7168.0,7168.0,73.96776461601257,139.75210690498352,1330.2264237778472,677.3887141777626,96.90707887700947,51.29081885594378,21.577576398849487,21.66386842727661,113.68681287765503,83.60731339454651,7124.546633844441,9331.097583753804,135.49795198440552,105.50913977622986,230.0724902153015,265.20688486099243,0.0,3373.6328125,0.0,0.6944106817245483,6149.6171875,5916.65625,-0.03125,0.0,-0.004297802341170609,232.9609375,0.0,-65.78434228897095,652.8377096000846,45.616260021065685,-0.08629202842712402,30.07949948310852,-2206.550949909363,29.98881220817566,-35.13439464569092,-3373.6328125,-0.6944106817245483,232.9609375
28,27,0.4921875,0.5703125,0.0,0.0,0.0014020290691405535,0.005338232032954693,5968.109375,5848.9765625,7168.0,7168.0,72.61299800872803,134.10947608947754,1315.050371402131,697.8151561606371,98.71510881754823,53.44887034841241,21.81940531730652,21.995765447616577,112.84546041488647,86.14387249946594,6931.231412626842,8902.652942665824,134.89857459068298,108.37852573394775,227.84667372703552,262.49282598495483,0.0,3180.609375,0.0,0.705493688583374,5968.109375,5848.9765625,-0.078125,0.0,-0.003936202963814139,119.1328125,0.0,-61.49647808074951,617.235215241494,45.266238469135814,-0.1763601303100586,26.701587915420532,-1971.4215300389815,26.52004885673523,-34.64615225791931,-3180.609375,-0.705493688583374,119.1328125
29,28,0.5625,0.578125,0.0,0.0,0.001420644111931324,0.0058601126074790955,6103.46875,5906.640625,7168.0,7168.0,82.25525307655334,134.27402257919312,1187.2250871213532,703.8312265074312,87.14337056782117,53.38337127550047,22.46091628074646,23.372512102127075,115.8578588962555,90.14373540878296,6905.530687533341,8595.894062811409,138.5509488582611,113.75086736679077,241.18285012245178,269.253133058548,0.0,2798.0,0.0,0.7543010115623474,6103.46875,5906.640625,-0.015625,0.0,-0.0044394684955477715,196.828125,0.0,-52.01876950263977,483.393860613922,33.75999929232069,-0.9115958213806152,25.714123487472534,-1690.363375278068,24.800081491470337,-28.07028293609619,-2798.0,-0.7543010115623474,196.828125
30,29,0.4609375,0.4296875,0.0,0.0,0.0012942436151206493,0.0060240658931434155,5833.8984375,5835.3125,7168.0,7168.0,71.58825373649597,136.3617250919342,1303.878361715278,684.6862632241849,100.12815826440149,52.566070098976674,20.479743480682373,21.10917019844055,108.07364535331726,81.95430207252502,7104.96067278655,9371.564159259475,128.78803515434265,103.29877591133118,220.63688564300537,259.6613461971283,0.0,2941.5859375,0.0,0.6769297122955322,5833.8984375,5835.3125,0.03125,0.0,-0.004729822278022766,-1.4140625,0.0,-64.77347135543823,619.1920984910931,47.56208816542482,-0.6294267177581787,26.119343280792236,-2266.6034864729245,25.489259243011475,-39.024460554122925,-2941.5859375,-0.6769297122955322,-1.4140625
31,30,0.4296875,0.4609375,0.0,0.0,0.0015144185163080692,0.007590139284729958,6192.765625,5992.4921875,7168.0,7168.0,73.51472210884094,138.68396258354187,1347.8150655769675,691.3551734018481,97.50427933860027,51.68586090610201,21.96708917617798,22.470194816589355,115.4867513179779,86.29063510894775,7037.776980687096,9121.905279827746,137.6874976158142,108.99810481071472,231.50495052337646,268.047385931015,0.0,3189.59375,0.0,0.8203096389770508,6192.765625,5992.4921875,-0.03125,0.0,-0.006075720768421888,200.2734375,0.0,-65.16924047470093,656.4598921751194,45.81841843249826,-0.503105640411377,29.19611620903015,-2084.1282991406506,28.689392805099487,-36.54243540763855,-3189.59375,-0.8203096389770508,200.2734375
32,31,0.546875,0.578125,0.0,0.0,0.0013798079453408718,0.00758768804371357,6106.484375,5949.453125,7168.0,7168.0,79.49454712867737,135.5788402557373,1229.062288283088,702.1099296943704,90.16970671456495,52.86960698645356,22.875407457351685,23.53608012199402,115.6891496181488,91.52526307106018,6962.364255062701,8580.90950681277,138.798828125,115.30067896842957,238.53971219062805,271.3368785381317,0.0,2856.0859375,0.0,0.7732164859771729,6106.484375,5949.453125,-0.03125,0.0,-0.006207880098372698,157.03125,0.0,-56.08429312705994,526.9523585887176,37.30009972811139,-0.660672664642334,24.163886547088623,-1618.545251750069,23.498149156570435,-32.79716634750366,-2856.0859375,-0.7732164859771729,157.03125
33,32,0.203125,0.2890625,0.0,0.0,0.0010425497312098742,0.0075919367372989655,6974.8046875,6789.9921875,7168.0,7168.0,82.07424473762512,151.43631505966187,1359.706389705477,717.3964511563742,87.33555846800243,47.333428558242446,23.698503732681274,25.939606189727783,125.64225888252258,100.14602279663086,7248.444974644467,8857.615861604067,149.57572197914124,126.32321190834045,251.76937675476074,297.9715495109558,0.0,3638.0390625,0.0,0.8618718385696411,6974.8046875,6789.9921875,-0.0859375,0.0,-0.006549387006089091,184.8125,0.0,-69.36207032203674,642.3099385491029,40.00212990975999,-2.241102457046509,25.496236085891724,-1609.1708869595996,23.25251007080078,-46.20217275619507,-3638.0390625,-0.8618718385696411,184.8125
