phase,run_id,group,seed,rollout_seed,step,framework_consistency,operator_case,reward,raw_reward,response_length,truncated_ratio,rollout_kl,train_loss,pg_loss,pg_clipfrac,entropy,ppo_kl,grad_norm,mean_abs_dlogp,max_abs_dlogp,mismatch_count,active_token_count,rollout_time,train_time,step_time,update_weights_time,actor_tokens_per_second,actor_train_tflops
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,29,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.3695732355117798,0.0012376437662169337,0.0,0.017199477180838585,1.1279423236846924,43859.0,57344.0,67.48557734489441,6.526968240737915,94.05903053283691,15.170441150665283,9073.346014940178,58.83210283115573
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,30,True,P/P,0.0,1.0,2549.5,0.0,0.0,0.0,0.0,0.0,0.20721665024757385,0.000709145562723279,0.0,0.009911423549056053,0.3120119869709015,9779.0,20396.0,25.343219757080078,2.4734652042388916,47.90480422973633,15.267510890960693,8949.106287818653,53.48815905468905
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,31,True,P/P,0.0,1.0,5311.5,0.0,0.0,0.0,0.0,0.0,0.22483859956264496,0.0007269021589308977,0.0,0.010751388967037201,0.6687332987785339,22506.0,42492.0,54.75827193260193,6.23038125038147,80.86785864830017,15.21037220954895,7068.439997759417,44.40446181490209
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,32,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.270622193813324,0.0006680283695459366,0.0,0.012416140176355839,0.7035144567489624,33382.0,57344.0,67.88064384460449,6.3983473777771,94.15135025978088,15.011314630508423,9515.958611658387,61.916715963915046
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,33,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.24268731474876404,0.0008039348758757114,0.0,0.010907072573900223,0.7081736922264099,31473.0,57344.0,67.73456716537476,6.369226455688477,93.97797203063965,15.146235466003418,9329.540826109478,60.51598387150924
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,34,True,P/P,0.0,0.5,6628.75,0.5,0.0,4.2691826820373535e-06,4.2691826820373535e-06,0.0033109639771282673,0.24494783580303192,0.0005348019185476005,0.5515517938887827,0.011215727776288986,0.6709189414978027,28017.0,53030.0,66.72232055664062,6.353013277053833,92.72533822059631,14.973822832107544,8884.52621571104,57.31683983301582
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,35,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.30807313323020935,0.0007465713424608111,0.0,0.013447504490613937,0.6765857338905334,39265.0,57344.0,67.68034791946411,6.356398344039917,94.03023052215576,15.070174932479858,9294.985496478512,60.24866708864331
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,36,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.27146345376968384,0.0007877630414441228,0.0,0.012432310730218887,0.7376691102981567,32232.0,57344.0,67.34695601463318,6.336257696151733,93.47525548934937,14.998578071594238,9309.136895588663,60.32804008939835
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,37,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.2860282063484192,0.0006167554529383779,0.0,0.012087345123291016,0.6726268529891968,38384.0,57344.0,67.42448329925537,6.36902928352356,93.96417570114136,15.188588380813599,9325.42207869322,60.486173701666694
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,38,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.2782611846923828,0.000695729220751673,0.0,0.012096730060875416,0.7536394596099854,34590.0,57344.0,68.10038185119629,6.365238904953003,94.32513403892517,15.004334688186646,9579.810861709631,62.34383217449996
